name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,easting,northing,longitude,latitude,runtime,ticket_price,,
National Maritime Museum,Romney Road,NA,NA,Greenwich,http://www.rmg.co.uk/national-maritime-museum#,10010243516,E09000011,Greenwich West,E05000222,538613.8201,177662.4501,-0.003622409,51.48042509,03/20/2022,£7.00 - £9.00,,
Charterhouse,Sutton's Hospital,Charterhouse Square,NA,Islington,http://www.thecharterhouse.org/,10023218636,E09000019,Bunhill,E05000367,531913.0001,181977.0001,-0.098458374,51.52080505,03/20/2022,£2.5 - £5.00,,
Cinema Museum,"The Masterâ€™s House, The Old Lambeth Workhouse",2 Dugard Way,Kennington,Lambeth,http://www.rmg.co.uk/cuttysark,10023852579,E09000022,Prince's,E05000427,531641.0001,178739.0001,-0.103585874,51.49176679,03/20/2022,free,,
Michael Faraday Museum at the Royal Institution,The Royal Institution,21 Albemarle Street,NA,City of Westminster,http://www.rigb.org/,10033528771,E09000033,West End,E05000649,528996.0001,180637.0001,-0.14097368,51.50943533,03/20/2022,£5.00 - £7.00,,
Tate Britain,Millbank,NA,NA,City of Westminster,http://www.tate.org.uk/britain,10033538284,E09000033,Vincent Square,E05000646,530117.0001,178543.0001,-0.125600103,51.49035804,03/20/2022,£2.5 - £5.00,,
The Society of Antiquaries of London - Burlington House,Burlington House,Piccadilly,Mayfair,City of Westminster,www.â€‹sal.â€‹org.â€‹uk,10033541032,E09000033,West End,E05000649,529194.0001,180507.0001,-0.138169461,51.50822168,03/20/2022,£2.5 - £5.00,,
Royal Academy of Arts,Burlington House,Piccadilly,NA,City of Westminster,http://www.royalacademy.org.uk/,10033541035,E09000033,West End,E05000649,529205.0001,180548.0001,-0.137996003,51.50858766,03/20/2022,free,,
MCC Museum,Lordâ€™s Ground,NA,NA,City of Westminster,http://www.lords.org/,10033543781,E09000033,Regent's Park,E05000643,526828.0001,182652.0001,-0.171475242,51.52803681,03/20/2022,free,,
The Courtauld Gallery,Somerset House,Strand,NA,City of Westminster,http://www.courtauld.ac.uk/gallery,10033544134,E09000033,St. James's,E05000644,530700.0001,180800.0001,-0.116370226,51.51050867,03/20/2022,£2.5 - £5.00,,
Household Cavalry Museum,Horseguards Parade,Whitehall,NA,City of Westminster,http://www.culture24.org.uk/se000447,10033545888,E09000033,St. James's,E05000644,530073.0001,180112.0001,-0.125655069,51.50446986,03/20/2022,£7.00 - £9.00,,
Royal Academy of Music Museum,1â€“5 York Gate,Marylebone Road,NA,City of Westminster,http://www.ram.ac.uk/museum,10033546476,E09000033,Marylebone High Street,E05000641,528279.0001,182128.0001,-0.150758163,51.52299939,03/20/2022,£7.00 - £9.00,,
Guards Museum,Wellington Barracks,Birdcage Walk,NA,City of Westminster,http://www.theguardsmuseum.com/,10033547407,E09000033,St. James's,E05000644,529322.0001,179495.0001,-0.136697005,51.4990968,03/20/2022,free,,
Banqueting House Whitehall,Whitehall,NA,NA,City of Westminster,www.hrp.org.uk,10033549112,E09000033,St. James's,E05000644,530165.0001,180065.0001,-0.124347466,51.50402625,03/20/2022,£7.00 - £9.00,,
Imperial College Healthcare Charity Art Collection at St Mary's Hospital,Ground Floor,Clarence Memorial Wing St Mary's Hospital,Praed Street,City of Westminster,NA,10033554476,E09000033,Hyde Park,E05000636,526819.0001,181411.0001,-0.172051702,51.51688486,03/20/2022,free,,
The Wallace Collection,Hertford House,Manchester Square,NA,City of Westminster,http://www.wallacecollection.org/,10033582984,E09000033,Marylebone High Street,E05000641,528258.0001,181422.0001,-0.151317737,51.51665878,03/20/2022,£2.5 - £5.00,,
British Optical Association Museum,The College of Optometrists,41-42 Craven St,NA,City of Westminster,https://www.college-optometrists.org/the-college/museum.html,10033590012,E09000033,St. James's,E05000644,530195.3701,180433.6701,-0.123773966,51.50733274,03/20/2022,free,,
Anaesthesia Museum,21 Portland Pl,Marylebone,NA,City of Westminster,https://www.aagbi.org/education/heritage-centre/anaesthesia-museum,10033598850,E09000033,West End,E05000649,528792.0001,181683.0001,-0.143529719,51.51888307,03/20/2022,£5.00 - £7.00,,
London Transport Museum,39 Wellington Street,NA,NA,City of Westminster,http://www.ltmuseum.co.uk/,10033620435,E09000033,St. James's,E05000644,530470.0001,180917.0001,-0.119639726,51.51161339,03/20/2022,free,,
"Courtauld Gallery, University of London",Somerset House,Â Strand,NA,City of Westminster,http://www.courtauld.ac.uk/,10033626383,E09000033,St. James's,E05000644,530773.1201,180770.0601,-0.115328151,51.51022266,03/20/2022,free,,
Museum of the Royal Philatelic Society London,Royal Philatelic Society London,41 Devonshire Place,Marylebone,City of Westminster,http://www.rpsl.org.uk/,10033629406,E09000033,Marylebone High Street,E05000641,528441.0001,181906.0001,-0.14850506,51.52096728,03/20/2022,free,,
Churchill (Museum & Cabinet) War Rooms,Clive Steps,King Charles Street,NA,City of Westminster,http://iwm.org.uk/,10033636263,E09000033,St. James's,E05000644,529932.3801,179796.5201,-0.127796465,51.50166677,03/20/2022,free,,
Havering Museum,19-21 High St,Romford,NA,Havering,www.haveringmuseum.org.uk/,10070706838,E09000016,Romford Town,E05000319,551123.9201,188812.4201,0.181204103,51.5774139,03/20/2022,£2.5 - £5.00,,
Marble Hill House,Richmond Rd,Twickenham,NA,Richmond upon Thames,http://www.culture24.org.uk/se000472,10070709920,E09000027,Twickenham Riverside,E05000531,517302.0001,173630.0001,-0.311746658,51.44900128,03/20/2022,£5.00 - £7.00,,
Museum of Richmond,Old Town Hall,Whittaker Avenue,Richmond,Richmond upon Thames,www.â€‹museumofrichmond.â€‹com,10070710719,E09000027,South Richmond,E05000528,517746.0001,174675.0001,-0.305011527,51.45830224,03/20/2022,£2.5 - £5.00,,
World Rugby Museum,Twickenham Stadium,Rugby Road,Twickenham,Richmond upon Thames,http://www.rfu.com/museum,10070721329,E09000027,St. Margarets and North Twickenham,E05000527,515383.0001,174231.0001,-0.33915697,51.4547979,03/20/2022,free,,
Islington Museum,Â 245 St John St,Clerkenwell,NA,Islington,NA,10091003195,E09000019,Clerkenwell,E05000370,531587.0001,182544.0001,-0.102943118,51.52597704,03/20/2022,£2.5 - £5.00,,
Bentley Priory Museum,Mansion House Drive Stanmore,NA,NA,Harrow,www.bentleypriory.org,10091091981,E09000015,Stanmore Park,E05000303,515481.1301,193281.0001,-0.331493386,51.62601154,03/20/2022,£2.5 - £5.00,,
Black Cultural Archives,1 Windrush Square,NA,NA,Lambeth,www.bcaheritage.org.uk,10091118537,E09000022,Coldharbour,E05000420,531079.1601,175189.9501,-0.11299205,51.45999969,03/20/2022,£2.5 - £5.00,,
Redbridge Museum,Redbridge Central Library,Clements Road,lford,Redbridge,redbridgefirstworldwar.org.uk,10091799736,E09000026,Ilford Town,E05011246,543963.0001,186394.0001,0.076933039,51.55755549,03/20/2022,free,,
Horniman Museum and Gardens,100 London Road,Forest Hill,NA,Lewisham,http://www.horniman.ac.uk/,10091839078,E09000023,Forest Hill,E05000444,534876.0001,173132.0001,-0.059150882,51.44061193,03/20/2022,free,,
Library and Museum of Freemasonry,Freemasons' Hall,60 Great Queen Street,NA,Camden,http://www.freemasonry.london.museum/,10091860258,E09000007,Holborn and Covent Garden,E05000138,530469.0001,181255.0001,-0.119529012,51.51465144,03/20/2022,£2.5 - £5.00,,
Charles Dickens Museum,48 Doughty St,London,NA,Camden,https://dickensmuseum.com/,10091862283,E09000007,Holborn and Covent Garden,E05000138,530783.0001,182202.0001,-0.114654399,51.52309009,03/20/2022,free,,
Crossness Engines,The Old Works. Thames Water S.T.W.,Bazalgette Way,Abbey Wood,Bexley,http://www.crossness.org.uk/,10091915267,E09000004,Thamesmead East,E05011232,548200.0001,180700.0001,0.13561791,51.50529066,03/20/2022,£5.00 - £7.00,,
National Portrait Gallery,St Martinâ€™s Place,NA,NA,City of Westminster,http://www.npg.org.uk/,1.00E+11,E09000033,St. James's,E05000644,529976.0001,180601.0001,-0.126871767,51.50888716,03/20/2022,£2.5 - £5.00,,
Hunterian Museum at the Royal College of Surgeons,Royal College of Surgeons,35-43 Lincolnâ€™s Inn Fields,NA,City of Westminster,http://www.medicalmuseums.org/,10091945440,E09000033,St. James's,E05000644,530832.0001,181278.0001,-0.114291539,51.51477419,03/20/2022,£5.00 - £7.00,,
Royal College of Surgeons of England,35-43 Lincoln's Inn Fields,NA,NA,City of Westminster,https://www.rcseng.ac.uk/,10091945440,E09000033,St. James's,E05000644,530832.0001,181278.0001,-0.114291539,51.51477419,03/20/2022,free,,
Kenwood House (known as the Iveagh Bequest),Hampstead Ln,Highgate,NA,Camden,http://www.culture24.org.uk/mw387,10091954503,E09000007,Highgate,E05000137,527087.0001,187419.0001,-0.166020721,51.57082353,03/20/2022,free,,
Hall Place and Gardens,Bourne Road,Bexley,Kent,Bexley,https://www.hallplace.org.uk/,1.00E+11,E09000004,Crayford,E05011222,550211.0001,174329.0001,0.16186577,51.44750903,03/20/2022,£5.00 - £7.00,,
Geffrye Museum,136 Kingsland Road,London,NA,Hackney,http://www.geffrye-museum.org.uk/,1.00E+11,E09000012,Haggerston,E05009375,533534.0001,183159.0001,-0.074657422,51.53104717,03/20/2022,£7.00 - £9.00,,
Ham House,Ham House and Garden,Ham St,Richmond-upon-Thames,Richmond upon Thames,https://www.nationaltrust.org.uk/ham-house-and-garden,1.00E+11,E09000027,"Ham, Petersham and Richmond Riverside",E05000519,517098.0001,172976.0001,-0.314897784,51.4431649,03/20/2022,free,,
Orleans House Gallery,Riverside,Twickenham,NA,Richmond upon Thames,http://www.richmond.gov.uk/arts,1.00E+11,E09000027,Twickenham Riverside,E05000531,516907.0001,173378.0001,-0.317512279,51.44681783,03/20/2022,£7.00 - £9.00,,
Bromley Museum at Bromley Historic Collections,Â High St,Bromley,NA,Bromley,NA,1.00E+11,E09000006,Bromley Town,E05000109,540217.0001,169118.0001,0.016066784,51.40324078,03/20/2022,free,,
Bethlem Museum of the Mind,Bethlem Royal Hospital,Monks Orchard Road,NA,Bromley,http://museumofthemind.org.uk/,1.00E+11,E09000006,Kelsey and Eden Park,E05000120,537210.0001,166494.0001,-0.028155004,51.38039353,03/20/2022,free,,
Dr JohnsonÊ¼s House,17 Gough Square,NA,NA,City and County of the City of London,http://www.drjohnsonshouse.org/,1.00E+11,E09000001,Castle Baynard,E05009297,531368.0001,181264.0001,-0.106575808,51.51452396,03/20/2022,£5.00 - £7.00,,
Walthamstow Pumphouse Museum,10 S Access Rd,Walthamstow,NA,Waltham Forest,http://e17pumphouse.org.uk/,1.00E+11,E09000031,Markhouse,E05000606,536276.0001,188257.0001,-0.033171337,51.57620829,03/20/2022,free,,
Vestry House Museum,Vestry Road,NA,NA,Waltham Forest,http://www.walthamforest.gov.uk/vestry-house,1.00E+11,E09000031,Hoe Street,E05000601,537780.0001,189110.0001,-0.011143846,51.58350852,03/20/2022,£5.00 - £7.00,,
Sutton House,2 & 4 Homerton High St,NA,NA,Hackney,www.â€‹nationaltrust.â€‹org.â€‹uk/â€‹sutton-â€‹house,1.00E+11,E09000012,Homerton,E05009376,535276.0001,185089.0001,-0.048814315,51.54797778,03/20/2022,£7.00 - £9.00,,
The Garden Museum,5 Lambeth Palace Rd,Lambeth,NA,Lambeth,www.â€‹gardenmuseum.â€‹org.â€‹uk,1.00E+11,E09000022,Bishop's,E05000416,530590.0001,179020.0001,-0.118613722,51.49453609,03/20/2022,£2.5 - £5.00,,
RangerÊ¼s House,Chesterfield Walk,Lewisham,NA,Greenwich,http://www.english-heritage.org.uk/visit/places/rangers-house-the-wernher-collection/,1.00E+11,E09000011,Greenwich West,E05000222,538887.0001,176832.0001,-1.71E-05,51.47289476,03/20/2022,free,,
Fan Museum,12 Crooms Hill,NA,NA,Greenwich,https://www.thefanmuseum.org.uk/,1.00E+11,E09000011,Greenwich West,E05000222,538412.1401,177438.7901,-0.006612863,51.47846443,03/20/2022,£2.5 - £5.00,,
The Old Royal Naval College,King William Walk,Greenwich,NA,Greenwich,www.â€‹ornc.â€‹org,1.00E+11,E09000011,Greenwich West,E05000222,538525.6201,177885.6201,-0.004804325,51.48245234,03/20/2022,£5.00 - £7.00,,
Mall Galleries,The Mall,17 Carlton House Terrace,NA,City of Westminster,http://www.mallgalleries.org.uk/,1.00E+11,E09000033,St. James's,E05000644,529866.0001,180299.0001,-0.128567343,51.50619817,03/20/2022,free,,
Royal College of Music Museum of Instruments,Prince Consort Rd,Kensington,NA,City of Westminster,www.â€‹rcm.â€‹ac.â€‹uk/â€‹visit/â€‹museum/â€‹,1.00E+11,E09000033,Knightsbridge and Belgravia,E05000637,526643.0001,179391.0001,-0.175312754,51.49876874,03/20/2022,£2.5 - £5.00,,
The London Museum of Water and Steam,Green Dragon Lane,Brentford,NA,Hounslow,www.â€‹waterandsteam.â€‹org.â€‹uk,1.00E+11,E09000018,Brentford,E05000347,518782.9001,178063.7001,-0.288952709,51.48854503,03/20/2022,free,,
"Hillingdon Local Studies, Archives and Museum",Central Library,14-16 High Street,Uxbridge,Hillingdon,https://www.hillingdon.gov.uk/history,1.00E+11,E09000017,Uxbridge South,E05000341,505618.0001,184018.0001,-0.47672958,51.54468289,03/20/2022,£5.00 - £7.00,,
National Gallery,Trafalgar Square,NA,NA,City of Westminster,http://www.nationalgallery.org.uk/,1.00E+11,E09000033,St. James's,E05000644,530032.0001,180569.0001,-0.126076999,51.50858667,03/20/2022,free,,
Benjamin Franklin House,36 Craven Street,NA,NA,City of Westminster,http://www.benjaminfranklinhouse.org/,1.00E+11,E09000033,St. James's,E05000644,530228.0001,180412.0001,-0.123312015,51.50713046,03/20/2022,free,,
British Dental Association Museum,64 Wimpole St,Marylebone,NA,City of Westminster,https://bda.org/museum,1.00E+11,E09000033,Marylebone High Street,E05000641,528551.0001,181586.0001,-0.147037043,51.51806617,03/20/2022,£5.00 - £7.00,,
British Architectural Library (Library and Photographs Collection),66 Portland Pl,Marylebone,NA,City of Westminster,https://www.architecture.com/about/riba-library-and-collections,1.00E+11,E09000033,Marylebone High Street,E05000641,528805.0001,181898.0001,-0.143263834,51.52081247,03/20/2022,free,,
Handel and Hendrix in London,23 and 25 Brook Street,Mayfair,NA,City of Westminster,https://handelhendrix.org/,1.00E+11,E09000033,West End,E05000649,528755.0001,180967.0001,-0.144324354,51.51245627,03/20/2022,£5.00 - £7.00,,
Hogarthâ€™s House,Greater London,NA,NA,Hounslow,http://www.hounslow.info/arts-culture/historic-houses-museums/hogarth-house/#,1.00E+11,E09000018,Chiswick Homefields,E05000348,521254.9201,177895.3801,-0.25341912,51.48650733,03/20/2022,£2.5 - £5.00,,
Bruce Castle Museum,Bruce Castle Museum,Lordship Lane,NA,Haringey,http://www.haringey.gov.uk/leisure/brucecastlemuseum,1.00E+11,E09000014,White Hart Lane,E05000283,533392.0001,190677.0001,-0.073849803,51.59864748,03/20/2022,£2.5 - £5.00,,
Down House,Down House,Luxted Road,Â Downe,Bromley,www.english-heritage.org.uk/darwin/,1.00E+11,E09000006,Darwin,E05000117,543154.0001,161150.0001,0.055057521,51.33089928,03/20/2022,free,,
Museum of London,150 London Wall,NA,NA,City and County of the City of London,http://www.museumoflondon.org.uk/london-wall/#,2.00E+11,E09000001,Aldersgate,E05009288,532199.0001,181593.0001,-0.094482179,51.51728697,03/20/2022,£2.5 - £5.00,,
Barbican Art Gallery,Level 3,Barbican Centre,Silk Street,City and County of the City of London,http://www.barbican.org.uk/artgallery,2.00E+11,E09000001,Cripplegate,E05009302,532329.0001,181837.0001,-0.092517837,51.51944948,03/20/2022,free,,
British Red Cross Museum and Archives,UK Office 44 Moorfields,NA,NA,City and County of the City of London,http://www.redcross.org.uk/museumandarchives,2.00E+11,E09000001,Coleman Street,E05009299,532709.7601,181750.2801,-0.087065249,51.51858074,03/20/2022,£2.5 - £5.00,,
Guildhall Art Gallery and London's Roman Amphitheatre,Guildhall Art Gallery Cultural and Visitor Development Town Clerkâ€™s Department Guildhall Yard,NA,NA,City and County of the City of London,http://www.guildhallartgallery.cityoflondon.gov.uk/,2.00E+11,E09000001,Bassishaw,E05009290,532513.0001,181353.0001,-0.09004913,51.51505639,03/20/2022,free,,
Headstone Manor & Museum (Harrow),Headstone Manor & Museum,Pinner View,Harrow,Harrow,http://www.harrow.gov.uk/museum,2.00E+11,E09000015,Headstone North,E05000292,514209.0001,189642.0001,-0.351051071,51.59356168,03/20/2022,£2.5 - £5.00,,
Hayward Gallery,Southbank Centre,Belvedere Road,NA,Lambeth,http://ticketing.southbankcentre.co.uk/venues/hayward-gallery#,2.00E+11,E09000022,Bishop's,E05000416,530888.0001,180261.0001,-0.113862479,51.50562082,03/20/2022,£2.5 - £5.00,,
Florence Nightingale Museum,St. Thomas Hospital,2 Lambeth Palace Road,NA,Lambeth,http://www.florence-nightingale.co.uk/,2.00E+11,E09000022,Bishop's,E05000416,530797.0001,179582.0001,-0.115424879,51.49953929,03/20/2022,£5.00 - £7.00,,
The View (Epping Forest Collection),6 Rangers Road,,Chingford,Waltham Forest,www.cityoflondon.gov.uk/things-to-do/green-spaces/epping-forest/Pages/default.aspx,2.00E+11,E09000031,Chingford Green,E05000593,539722.0001,194770.0001,0.019126479,51.63389537,03/20/2022,free,,
William Morris Gallery and Brangwyn Gift,Lloyd Park House,531 Forest Rd,Walthamstow,Waltham Forest,http://wmgallery.org.uk/,2.00E+11,E09000031,William Morris,E05000608,537229.0001,189906.0001,-0.018781165,51.59079662,03/20/2022,free,,
Clipper Ship Cutty Sark,King William Walk,Greenwich,NA,Greenwich,http://www.rmg.co.uk/cuttysark,2.00E+11,E09000011,Greenwich West,E05000222,538311.1801,177862.4401,-0.007899992,51.48229651,03/20/2022,£7.00 - £9.00,,
London Fire Brigade Museum,Winchester House,94a Southwark Bridge Rd,NA,Southwark,http://www.culture24.org.uk/mw921,2.00E+11,E09000028,Borough & Bankside,E05011095,532102.0001,179829.0001,-0.096540517,51.50145568,03/20/2022,£5.00 - £7.00,,
HMS Belfast,Uxbridge,Middlesex,NA,Southwark,http://iwm.org.uk/,2.00E+11,E09000028,London Bridge & West Bermondsey,E05011104,533244.8501,180373.2501,-0.07987744,51.50607879,03/20/2022,£2.5 - £5.00,,
Imperial War Museum,Lambeth Rd,NA,NA,Southwark,http://london.iwm.org.uk/,2.00E+11,E09000028,St. George's,E05011114,531411.0001,179148.0001,-0.106744975,51.49549623,03/20/2022,£5.00 - £7.00,,
Old Operating Theatre and Herb Garret,9A St Thomasâ€™ Street,NA,NA,Southwark,http://www.oldoperatingtheatre.com/,2.00E+11,E09000028,London Bridge & West Bermondsey,E05011104,532766.0001,180185.0001,-0.086844633,51.50449961,03/20/2022,free,,
Brunel Museum,Brunel Engine House,Railway Avenue,Rotherhithe,Southwark,www.brunel-museum.org.uk/,2.00E+11,E09000028,Rotherhithe,E05011112,535239.0001,179870.0001,-0.051351513,51.50108215,03/20/2022,free,,
Dulwich Picture Gallery,6 Gallery Road,Dulwich Village,NA,Southwark,http://www.dulwichpicturegallery.org.uk/,2.00E+11,E09000028,Dulwich Village,E05011100,533077.0001,173624.0001,-0.084837608,51.4454594,03/20/2022,£5.00 - £7.00,,
Osterley Park House,Jersey Road,Isleworth,NA,Hounslow,https://www.nationaltrust.org.uk/osterley-park-and-house?p=1356312744250,2.00E+11,E09000018,Osterley and Spring Grove,E05000363,514531.4001,178014.6001,-0.350182958,51.48898096,03/20/2022,free,,
Gunnersbury Park Museum,Gunnersbury Park,Popes Ln,NA,Hounslow,www.hounslow.info â€º Arts & Culture â€º Historic Houses & Museums,2.00E+11,E09000018,Brentford,E05000347,519046.9001,179236.8001,-0.284755866,51.49903389,03/20/2022,free,,
Migration Museum and the London Fire Brigade Museum,26 Lambeth High St,,,,https://www.london-fire.gov.uk/museum/   https://www.migrationmuseum.org/,,,,,530581.3997,178801.6969,-0.118818343,51.49257604,03/20/2022,£2.5 - £5.00,,
